Susan Collins
Joe Donnelly
John Boozman
Marco Rubio
Doug Jones
Brian Schatz
Jon Kyl
Tom Udall
Lisa Murkowski
Johnny Isakson
Pat Roberts
John Cornyn
Shelley Moore Capito
Gary Peters
Debbie Stabenow
Tina Smith
Chris Coons
Dean Heller
Lamar Alexander
Jeanne Shaheen
Cindy Hyde-Smith
John Hoeven
Jack Reed
Maggie Hassan
Dick Durbin
Bill Nelson
Jerry Moran
Orrin Hatch
Roger Wicker
Chuck Schumer
Angus King
Amy Klobuchar
Lindsey Graham
Tammy Duckworth
Ben Cardin
Joe Manchin
Richard Shelby
Martin Heinrich
Tim Scott
Tim Kaine
Luther Strange
Jim Inhofe
Jeff Sessions
Al Franken
Chris Van Hollen
Mark Warner
Heidi Heitkamp
John Thune
Mitch McConnell
Roy Blunt
Rob Portman
Sherrod Brown
Tom Carper
Thad Cochran
Todd Young
Patty Murray
Tammy Baldwin
Bob Casey Jr.
Sheldon Whitehouse
